prediction,test_price
329.0,695.0
337.19,649.86
346.92,640.34
339.51,645.98
339.99,661.77
336.44,663.69
338.31,665.99
335.78,694.78
337.57,705.67
343.3,729.77
346.39,735.11
346.83,755.98
349.63,816.04
355.2,880.02
368.8,811.19
386.42,849.44
387.62,854.41
392.72,845.0
396.72,826.16
395.08,844.55
386.83,850.45
387.25,844.99
384.62,846.64
380.51,880.8
382.57,883.09
389.28,864.16
394.15,835.43
386.54,793.53
378.13,839.81
366.36,872.79
360.57,854.69
366.06,849.99
367.1,852.23
369.52,863.42
373.39,849.46
376.11,804.82
370.5,811.66
364.22,816.12
363.05,796.22
355.31,798.15
346.67,787.38
340.91,781.3
332.93,714.5
328.21,698.84
310.66,742.02
295.86,682.22
297.42,675.5
292.08,718.43
280.92,686.44
288.46,653.2
288.75,621.44
275.78,597.95
261.49,563.0
